firm_name,city,state,practice_focus,notes,firm_reuse_flag,city_slug
Bryan Baer,Atlanta,GA,Personal injury law,Imported from existing repo listings,,atlanta-ga
David Van Sant,Atlanta,GA,Personal injury law,Imported from existing repo listings,,atlanta-ga
Justin Spizman,Atlanta,GA,Personal injury law,Imported from existing repo listings,,atlanta-ga
Mark J. Issa,Atlanta,GA,Personal injury law,Imported from existing repo listings,,atlanta-ga
Michael Russ,Atlanta,GA,Personal injury law,Imported from existing repo listings,,atlanta-ga
Jack Clayton Zinda,Austin,TX,Personal injury law,Imported from existing repo listings,,austin-tx
Justin Drew McMinn,Austin,TX,Personal injury law,Imported from existing repo listings,,austin-tx
Mark Richard McLean,Austin,TX,Personal injury law,Imported from existing repo listings,,austin-tx
Michael M. Connelly,Austin,TX,Personal injury law,Imported from existing repo listings,,austin-tx
Stephen W. Stewart,Austin,TX,Personal injury law,Imported from existing repo listings,,austin-tx
Adam Samuel Hocutt,Charlotte,NC,Personal injury law,Imported from existing repo listings,,charlotte-nc
Dexter G. Benoit,Charlotte,NC,Personal injury law,Imported from existing repo listings,,charlotte-nc
Gene A. Riddle,Charlotte,NC,Personal injury law,Imported from existing repo listings,,charlotte-nc
Jon Ryan Moore,Charlotte,NC,Personal injury law,Imported from existing repo listings,,charlotte-nc
Justin D. Bice,Charlotte,NC,Personal injury law,Imported from existing repo listings,,charlotte-nc
David Keith Kremin,Chicago,IL,Personal injury law,Imported from existing repo listings,,chicago-il
Jay Paul Deratany,Chicago,IL,Personal injury law,Imported from existing repo listings,,chicago-il
Marc H. Lamber,Chicago,IL,Personal injury law,Imported from existing repo listings,,chicago-il
Michael A. Shammas,Chicago,IL,Personal injury law,Imported from existing repo listings,,chicago-il
Steven James Malman,Chicago,IL,Personal injury law,Imported from existing repo listings,,chicago-il
Amanda Ackerman Condon,Cleveland,OH,Personal injury law,Imported from existing repo listings,,cleveland-oh
Christopher James Carney,Cleveland,OH,Personal injury law,Imported from existing repo listings,,cleveland-oh
Christopher Michael Mellino,Cleveland,OH,Personal injury law,Imported from existing repo listings,,cleveland-oh
Joseph Anthony Condeni,Cleveland,OH,Personal injury law,Imported from existing repo listings,,cleveland-oh
Stephen Samuel Crandall,Cleveland,OH,Personal injury law,Imported from existing repo listings,,cleveland-oh
Aaron Soroka,Columbus,OH,Personal injury law,Imported from existing repo listings,,columbus-oh
Brian G. Miller,Columbus,OH,Personal injury law,Imported from existing repo listings,,columbus-oh
David A. Goldstein,Columbus,OH,Personal injury law,Imported from existing repo listings,,columbus-oh
Dino Colombo,Columbus,OH,Personal injury law,Imported from existing repo listings,,columbus-oh
John Keith Fitch,Columbus,OH,Personal injury law,Imported from existing repo listings,,columbus-oh
Adamson Ahdoot,Dallas,TX,Personal injury law,Imported from existing repo listings,,dallas-tx
Jack Clayton Zinda,Dallas,TX,Personal injury law,Imported from existing repo listings,,dallas-tx
John Holman Barr,Dallas,TX,Personal injury law,Imported from existing repo listings,,dallas-tx
Ledger Law,Dallas,TX,Personal injury law,Imported from existing repo listings,,dallas-tx
Ronald Chase McCallum,Dallas,TX,Personal injury law,Imported from existing repo listings,,dallas-tx
Anderson Hemmat,Denver,CO,Personal injury law,Imported from existing repo listings,,denver-co
"Bachus & Schanker, LLC",Denver,CO,Personal injury law,Imported from existing repo listings,,denver-co
"Franklin D. Azar & Associates, P.C.",Denver,CO,Personal injury law,Imported from existing repo listings,,denver-co
Monge & Associates,Denver,CO,Personal injury law,Imported from existing repo listings,,denver-co
Wilhite Law Firm,Denver,CO,Personal injury law,Imported from existing repo listings,,denver-co
Buckfire Law Firm,Detroit,MI,Personal injury law,Imported from existing repo listings,,detroit-mi
Goodman Acker P.C.,Detroit,MI,Personal injury law,Imported from existing repo listings,,detroit-mi
Michigan Auto Law,Detroit,MI,Personal injury law,Imported from existing repo listings,,detroit-mi
Moss & Colella,Detroit,MI,Personal injury law,Imported from existing repo listings,,detroit-mi
Ven Johnson Law,Detroit,MI,Personal injury law,Imported from existing repo listings,,detroit-mi
Andrew Sullo,Houston,TX,Personal injury law,Imported from existing repo listings,,houston-tx
Brant J. Stogner,Houston,TX,Personal injury law,Imported from existing repo listings,,houston-tx
Edward C. Okwueze,Houston,TX,Personal injury law,Imported from existing repo listings,,houston-tx
Kevin S. Sobel,Houston,TX,Personal injury law,Imported from existing repo listings,,houston-tx
Mark Metzger,Houston,TX,Personal injury law,Imported from existing repo listings,,houston-tx
Alvarez Law Firm,Indianapolis,IN,Personal injury law,Imported from existing repo listings,,indianapolis-in
Craig Kelley & Faultless LLC,Indianapolis,IN,Personal injury law,Imported from existing repo listings,,indianapolis-in
"Pavlack Law, LLC",Indianapolis,IN,Personal injury law,Imported from existing repo listings,,indianapolis-in
Shartzer Law Firm,Indianapolis,IN,Personal injury law,Imported from existing repo listings,,indianapolis-in
Young & Young Attorneys,Indianapolis,IN,Personal injury law,Imported from existing repo listings,,indianapolis-in
Hollis Law Firm,Kansas City,KS,Personal injury law,Imported from existing repo listings,,kansas-city-ks
"Kendall Law Group, LLC",Kansas City,KS,Personal injury law,Imported from existing repo listings,,kansas-city-ks
Popham Law Firm,Kansas City,KS,Personal injury law,Imported from existing repo listings,,kansas-city-ks
"The Horn Law Firm, P.A.",Kansas City,KS,Personal injury law,Imported from existing repo listings,,kansas-city-ks
"The Jacobs Law Firm, LLC",Kansas City,KS,Personal injury law,Imported from existing repo listings,,kansas-city-ks
Adamson Ahdoot LLP,Los Angeles,CA,Personal injury law,Imported from existing repo listings,,los-angeles-ca
Dolan Law Firm,Los Angeles,CA,Personal injury law,Imported from existing repo listings,,los-angeles-ca
Forouzan Law,Los Angeles,CA,Personal injury law,Imported from existing repo listings,,los-angeles-ca
