vertical,city_slug,state_code,publish_enabled
trt,albuquerque-nm,NM,true
trt,anchorage-ak,AK,true
trt,atlanta-ga,GA,true
trt,baltimore-md,MD,true
trt,billings-mt,MT,true
trt,birmingham-al,AL,true
trt,boise-id,ID,true
trt,boston-ma,MA,true
trt,burlington-vt,VT,true
trt,charleston-wv,WV,true
trt,charlotte-nc,NC,true
trt,cheyenne-wy,WY,true
trt,chicago-il,IL,true
trt,columbia-sc,SC,true
trt,columbus-oh,OH,true
trt,dallas-tx,TX,true
trt,denver-co,CO,true
trt,des-moines-ia,IA,true
trt,detroit-mi,MI,true
trt,fargo-nd,ND,true
trt,hartford-ct,CT,true
trt,honolulu-hi,HI,true
trt,houston-tx,TX,true
trt,indianapolis-in,IN,true
trt,jackson-ms,MS,true
trt,kansas-city-ks,KS,true
trt,las-vegas-nv,NV,true
trt,little-rock-ar,AR,true
trt,los-angeles-ca,CA,true
trt,louisville-ky,KY,true
trt,manchester-nh,NH,true
trt,memphis-tn,TN,true
trt,miami-fl,FL,true
trt,milwaukee-wi,WI,true
trt,minneapolis-mn,MN,true
trt,new-orleans-la,LA,true
trt,new-york-city-ny,NY,true
trt,newark-nj,NJ,true
trt,oklahoma-city-ok,OK,true
trt,omaha-ne,NE,true
trt,orlando-fl,FL,true
trt,philadelphia-pa,PA,true
trt,phoenix-az,AZ,true
trt,portland-me,ME,true
trt,portland-or,OR,true
trt,providence-ri,RI,true
trt,richmond-va,VA,true
trt,sacramento-ca,CA,true
trt,salt-lake-city-ut,UT,true
trt,san-diego-ca,CA,true
trt,san-francisco-ca,CA,true
trt,seattle-wa,WA,true
trt,sioux-falls-sd,SD,true
trt,st-louis-mo,MO,true
trt,tampa-fl,FL,true
trt,wilmington-de,DE,true
neuro,albuquerque-nm,NM,true
neuro,anchorage-ak,AK,true
neuro,atlanta-ga,GA,true
neuro,baltimore-md,MD,true
neuro,billings-mt,MT,true
neuro,birmingham-al,AL,true
neuro,boise-id,ID,true
neuro,boston-ma,MA,true
neuro,burlington-vt,VT,true
neuro,charleston-wv,WV,true
neuro,charlotte-nc,NC,true
neuro,cheyenne-wy,WY,true
neuro,chicago-il,IL,true
neuro,columbia-sc,SC,true
neuro,columbus-oh,OH,true
neuro,dallas-tx,TX,true
neuro,denver-co,CO,true
neuro,des-moines-ia,IA,true
neuro,detroit-mi,MI,true
neuro,fargo-nd,ND,true
neuro,hartford-ct,CT,true
neuro,honolulu-hi,HI,true
neuro,houston-tx,TX,true
neuro,indianapolis-in,IN,true
neuro,jackson-ms,MS,true
neuro,kansas-city-ks,KS,true
neuro,las-vegas-nv,NV,true
neuro,little-rock-ar,AR,true
neuro,los-angeles-ca,CA,true
neuro,louisville-ky,KY,true
neuro,manchester-nh,NH,true
neuro,memphis-tn,TN,true
neuro,miami-fl,FL,true
neuro,milwaukee-wi,WI,true
neuro,minneapolis-mn,MN,true
neuro,new-orleans-la,LA,true
neuro,new-york-city-ny,NY,true
neuro,newark-nj,NJ,true
neuro,oklahoma-city-ok,OK,true
neuro,omaha-ne,NE,true
neuro,orlando-fl,FL,true
neuro,philadelphia-pa,PA,true
neuro,phoenix-az,AZ,true
neuro,portland-me,ME,true
neuro,portland-or,OR,true
neuro,providence-ri,RI,true
neuro,richmond-va,VA,true
neuro,sacramento-ca,CA,true
neuro,salt-lake-city-ut,UT,true
neuro,san-diego-ca,CA,true
neuro,san-francisco-ca,CA,true
neuro,seattle-wa,WA,true
neuro,sioux-falls-sd,SD,true
neuro,st-louis-mo,MO,true
neuro,tampa-fl,FL,true
neuro,wilmington-de,DE,true
uscis_medical,albuquerque-nm,NM,true
uscis_medical,anchorage-ak,AK,true
uscis_medical,atlanta-ga,GA,true
uscis_medical,baltimore-md,MD,true
uscis_medical,billings-mt,MT,true
uscis_medical,birmingham-al,AL,true
uscis_medical,boise-id,ID,true
uscis_medical,boston-ma,MA,true
uscis_medical,burlington-vt,VT,true
uscis_medical,charleston-wv,WV,true
uscis_medical,charlotte-nc,NC,true
uscis_medical,cheyenne-wy,WY,true
uscis_medical,chicago-il,IL,true
uscis_medical,columbia-sc,SC,true
uscis_medical,columbus-oh,OH,true
uscis_medical,dallas-tx,TX,true
uscis_medical,denver-co,CO,true
uscis_medical,des-moines-ia,IA,true
uscis_medical,detroit-mi,MI,true
uscis_medical,fargo-nd,ND,true
uscis_medical,hartford-ct,CT,true
uscis_medical,honolulu-hi,HI,true
uscis_medical,houston-tx,TX,true
uscis_medical,indianapolis-in,IN,true
uscis_medical,jackson-ms,MS,true
uscis_medical,kansas-city-ks,KS,true
uscis_medical,las-vegas-nv,NV,true
uscis_medical,little-rock-ar,AR,true
uscis_medical,los-angeles-ca,CA,true
uscis_medical,louisville-ky,KY,true
uscis_medical,manchester-nh,NH,true
uscis_medical,memphis-tn,TN,true
uscis_medical,miami-fl,FL,true
uscis_medical,milwaukee-wi,WI,true
uscis_medical,minneapolis-mn,MN,true
uscis_medical,new-orleans-la,LA,true
uscis_medical,new-york-city-ny,NY,true
uscis_medical,newark-nj,NJ,true
uscis_medical,oklahoma-city-ok,OK,true
uscis_medical,omaha-ne,NE,true
uscis_medical,orlando-fl,FL,true
uscis_medical,philadelphia-pa,PA,true
uscis_medical,phoenix-az,AZ,true
uscis_medical,portland-me,ME,true
uscis_medical,portland-or,OR,true
uscis_medical,providence-ri,RI,true
uscis_medical,richmond-va,VA,true
uscis_medical,sacramento-ca,CA,true
uscis_medical,salt-lake-city-ut,UT,true
uscis_medical,san-diego-ca,CA,true
uscis_medical,san-francisco-ca,CA,true
uscis_medical,seattle-wa,WA,true
uscis_medical,sioux-falls-sd,SD,true
uscis_medical,st-louis-mo,MO,true
uscis_medical,tampa-fl,FL,true
uscis_medical,wilmington-de,DE,true
