vertical,city_slug,city_name,state_code,state_name,tier,priority,required_provider_dataset,required_listing_json,status,notes
neuro,new-york-city-ny,New York City,NY,New York,T1,high,true,true,planned,Tier 1 metro
neuro,los-angeles-ca,Los Angeles,CA,California,T1,high,true,true,planned,Tier 1 metro
neuro,chicago-il,Chicago,IL,Illinois,T1,high,true,true,planned,Tier 1 metro
neuro,houston-tx,Houston,TX,Texas,T1,high,true,true,planned,Tier 1 metro
neuro,phoenix-az,Phoenix,AZ,Arizona,T1,high,true,true,planned,Tier 1 metro
neuro,philadelphia-pa,Philadelphia,PA,Pennsylvania,T1,high,true,true,planned,Tier 1 metro
neuro,san-antonio-tx,San Antonio,TX,Texas,T1,high,true,true,planned,Tier 1 metro
neuro,san-diego-ca,San Diego,CA,California,T1,high,true,true,planned,Tier 1 metro
neuro,dallas-tx,Dallas,TX,Texas,T1,high,true,true,planned,Tier 1 metro
neuro,san-jose-ca,San Jose,CA,California,T1,high,true,true,planned,Tier 1 metro
neuro,austin-tx,Austin,TX,Texas,T1,high,true,true,planned,Tier 1 metro
neuro,jacksonville-fl,Jacksonville,FL,Florida,T1,high,true,true,planned,Tier 1 metro
neuro,fort-worth-tx,Fort Worth,TX,Texas,T1,high,true,true,planned,Tier 1 metro
neuro,columbus-oh,Columbus,OH,Ohio,T1,high,true,true,planned,Tier 1 metro
neuro,charlotte-nc,Charlotte,NC,North Carolina,T1,high,true,true,planned,Tier 1 metro
neuro,san-francisco-ca,San Francisco,CA,California,T1,high,true,true,planned,Tier 1 metro
neuro,indianapolis-in,Indianapolis,IN,Indiana,T1,high,true,true,planned,Tier 1 metro
neuro,seattle-wa,Seattle,WA,Washington,T1,high,true,true,planned,Tier 1 metro
neuro,denver-co,Denver,CO,Colorado,T1,high,true,true,planned,Tier 1 metro
neuro,washington-dc,Washington,DC,District of Columbia,T1,high,true,true,planned,Tier 1 metro
neuro,boston-ma,Boston,MA,Massachusetts,T1,high,true,true,planned,Tier 1 metro
neuro,nashville-tn,Nashville,TN,Tennessee,T1,high,true,true,planned,Tier 1 metro
neuro,baltimore-md,Baltimore,MD,Maryland,T1,high,true,true,planned,Tier 1 metro
neuro,oklahoma-city-ok,Oklahoma City,OK,Oklahoma,T1,high,true,true,planned,Tier 1 metro
neuro,portland-or,Portland,OR,Oregon,T1,high,true,true,planned,Tier 1 metro
neuro,las-vegas-nv,Las Vegas,NV,Nevada,T1,high,true,true,planned,Tier 1 metro
neuro,detroit-mi,Detroit,MI,Michigan,T1,high,true,true,planned,Tier 1 metro
neuro,memphis-tn,Memphis,TN,Tennessee,T1,high,true,true,planned,Tier 1 metro
neuro,louisville-ky,Louisville,KY,Kentucky,T1,high,true,true,planned,Tier 1 metro
neuro,milwaukee-wi,Milwaukee,WI,Wisconsin,T1,high,true,true,planned,Tier 1 metro
neuro,birmingham-al,Birmingham,AL,Alabama,T2,medium,true,true,planned,State anchor
neuro,anchorage-ak,Anchorage,AK,Alaska,T3,medium,true,true,planned,State anchor
neuro,little-rock-ar,Little Rock,AR,Arkansas,T3,medium,true,true,planned,State anchor
neuro,hartford-ct,Hartford,CT,Connecticut,T3,medium,true,true,planned,State anchor
neuro,wilmington-de,Wilmington,DE,Delaware,T3,medium,true,true,planned,State anchor
neuro,miami-fl,Miami,FL,Florida,T1,high,true,true,planned,Tier 1 metro
neuro,atlanta-ga,Atlanta,GA,Georgia,T1,high,true,true,planned,Tier 1 metro
neuro,honolulu-hi,Honolulu,HI,Hawaii,T2,medium,true,true,planned,State anchor
neuro,boise-id,Boise,ID,Idaho,T3,medium,true,true,planned,State anchor
neuro,des-moines-ia,Des Moines,IA,Iowa,T3,medium,true,true,planned,State anchor
neuro,wichita-ks,Wichita,KS,Kansas,T3,medium,true,true,planned,State anchor
neuro,new-orleans-la,New Orleans,LA,Louisiana,T2,medium,true,true,planned,State anchor
neuro,portland-me,Portland,ME,Maine,T3,medium,true,true,planned,State anchor
neuro,minneapolis-mn,Minneapolis,MN,Minnesota,T2,medium,true,true,planned,State anchor
neuro,jackson-ms,Jackson,MS,Mississippi,T3,medium,true,true,planned,State anchor
neuro,st-louis-mo,St. Louis,MO,Missouri,T2,medium,true,true,planned,State anchor
neuro,billings-mt,Billings,MT,Montana,T3,medium,true,true,planned,State anchor
neuro,omaha-ne,Omaha,NE,Nebraska,T3,medium,true,true,planned,State anchor
neuro,manchester-nh,Manchester,NH,New Hampshire,T3,medium,true,true,planned,State anchor
neuro,newark-nj,Newark,NJ,New Jersey,T2,medium,true,true,planned,State anchor
neuro,albuquerque-nm,Albuquerque,NM,New Mexico,T2,medium,true,true,planned,State anchor
neuro,fargo-nd,Fargo,ND,North Dakota,T3,medium,true,true,planned,State anchor
neuro,providence-ri,Providence,RI,Rhode Island,T3,medium,true,true,planned,State anchor
neuro,charleston-sc,Charleston,SC,South Carolina,T3,medium,true,true,planned,State anchor
neuro,sioux-falls-sd,Sioux Falls,SD,South Dakota,T3,medium,true,true,planned,State anchor
neuro,salt-lake-city-ut,Salt Lake City,UT,Utah,T2,medium,true,true,planned,State anchor
neuro,burlington-vt,Burlington,VT,Vermont,T3,medium,true,true,planned,State anchor
neuro,virginia-beach-va,Virginia Beach,VA,Virginia,T2,medium,true,true,planned,State anchor
neuro,charleston-wv,Charleston,WV,West Virginia,T3,medium,true,true,planned,State anchor
neuro,cheyenne-wy,Cheyenne,WY,Wyoming,T3,medium,true,true,planned,State anchor
trt,new-york-city-ny,New York City,NY,New York,T1,high,true,true,planned,Tier 1 metro
trt,los-angeles-ca,Los Angeles,CA,California,T1,high,true,true,planned,Tier 1 metro
trt,chicago-il,Chicago,IL,Illinois,T1,high,true,true,planned,Tier 1 metro
trt,houston-tx,Houston,TX,Texas,T1,high,true,true,planned,Tier 1 metro
trt,phoenix-az,Phoenix,AZ,Arizona,T1,high,true,true,planned,Tier 1 metro
trt,philadelphia-pa,Philadelphia,PA,Pennsylvania,T1,high,true,true,planned,Tier 1 metro
trt,san-antonio-tx,San Antonio,TX,Texas,T1,high,true,true,planned,Tier 1 metro
trt,san-diego-ca,San Diego,CA,California,T1,high,true,true,planned,Tier 1 metro
trt,dallas-tx,Dallas,TX,Texas,T1,high,true,true,planned,Tier 1 metro
trt,san-jose-ca,San Jose,CA,California,T1,high,true,true,planned,Tier 1 metro
trt,austin-tx,Austin,TX,Texas,T1,high,true,true,planned,Tier 1 metro
trt,jacksonville-fl,Jacksonville,FL,Florida,T1,high,true,true,planned,Tier 1 metro
trt,fort-worth-tx,Fort Worth,TX,Texas,T1,high,true,true,planned,Tier 1 metro
trt,columbus-oh,Columbus,OH,Ohio,T1,high,true,true,planned,Tier 1 metro
trt,charlotte-nc,Charlotte,NC,North Carolina,T1,high,true,true,planned,Tier 1 metro
trt,san-francisco-ca,San Francisco,CA,California,T1,high,true,true,planned,Tier 1 metro
trt,indianapolis-in,Indianapolis,IN,Indiana,T1,high,true,true,planned,Tier 1 metro
trt,seattle-wa,Seattle,WA,Washington,T1,high,true,true,planned,Tier 1 metro
trt,denver-co,Denver,CO,Colorado,T1,high,true,true,planned,Tier 1 metro
trt,washington-dc,Washington,DC,District of Columbia,T1,high,true,true,planned,Tier 1 metro
trt,boston-ma,Boston,MA,Massachusetts,T1,high,true,true,planned,Tier 1 metro
trt,nashville-tn,Nashville,TN,Tennessee,T1,high,true,true,planned,Tier 1 metro
trt,baltimore-md,Baltimore,MD,Maryland,T1,high,true,true,planned,Tier 1 metro
trt,oklahoma-city-ok,Oklahoma City,OK,Oklahoma,T1,high,true,true,planned,Tier 1 metro
trt,portland-or,Portland,OR,Oregon,T1,high,true,true,planned,Tier 1 metro
trt,las-vegas-nv,Las Vegas,NV,Nevada,T1,high,true,true,planned,Tier 1 metro
trt,detroit-mi,Detroit,MI,Michigan,T1,high,true,true,planned,Tier 1 metro
trt,memphis-tn,Memphis,TN,Tennessee,T1,high,true,true,planned,Tier 1 metro
trt,louisville-ky,Louisville,KY,Kentucky,T1,high,true,true,planned,Tier 1 metro
trt,milwaukee-wi,Milwaukee,WI,Wisconsin,T1,high,true,true,planned,Tier 1 metro
trt,birmingham-al,Birmingham,AL,Alabama,T2,medium,true,true,planned,State anchor
trt,anchorage-ak,Anchorage,AK,Alaska,T3,medium,true,true,planned,State anchor
trt,little-rock-ar,Little Rock,AR,Arkansas,T3,medium,true,true,planned,State anchor
trt,hartford-ct,Hartford,CT,Connecticut,T3,medium,true,true,planned,State anchor
trt,wilmington-de,Wilmington,DE,Delaware,T3,medium,true,true,planned,State anchor
trt,miami-fl,Miami,FL,Florida,T1,high,true,true,planned,Tier 1 metro
trt,atlanta-ga,Atlanta,GA,Georgia,T1,high,true,true,planned,Tier 1 metro
trt,honolulu-hi,Honolulu,HI,Hawaii,T2,medium,true,true,planned,State anchor
trt,boise-id,Boise,ID,Idaho,T3,medium,true,true,planned,State anchor
trt,des-moines-ia,Des Moines,IA,Iowa,T3,medium,true,true,planned,State anchor
trt,wichita-ks,Wichita,KS,Kansas,T3,medium,true,true,planned,State anchor
trt,new-orleans-la,New Orleans,LA,Louisiana,T2,medium,true,true,planned,State anchor
trt,portland-me,Portland,ME,Maine,T3,medium,true,true,planned,State anchor
trt,minneapolis-mn,Minneapolis,MN,Minnesota,T2,medium,true,true,planned,State anchor
trt,jackson-ms,Jackson,MS,Mississippi,T3,medium,true,true,planned,State anchor
trt,st-louis-mo,St. Louis,MO,Missouri,T2,medium,true,true,planned,State anchor
trt,billings-mt,Billings,MT,Montana,T3,medium,true,true,planned,State anchor
trt,omaha-ne,Omaha,NE,Nebraska,T3,medium,true,true,planned,State anchor
trt,manchester-nh,Manchester,NH,New Hampshire,T3,medium,true,true,planned,State anchor
trt,newark-nj,Newark,NJ,New Jersey,T2,medium,true,true,planned,State anchor
trt,albuquerque-nm,Albuquerque,NM,New Mexico,T2,medium,true,true,planned,State anchor
trt,fargo-nd,Fargo,ND,North Dakota,T3,medium,true,true,planned,State anchor
trt,providence-ri,Providence,RI,Rhode Island,T3,medium,true,true,planned,State anchor
trt,charleston-sc,Charleston,SC,South Carolina,T3,medium,true,true,planned,State anchor
trt,sioux-falls-sd,Sioux Falls,SD,South Dakota,T3,medium,true,true,planned,State anchor
trt,salt-lake-city-ut,Salt Lake City,UT,Utah,T2,medium,true,true,planned,State anchor
trt,burlington-vt,Burlington,VT,Vermont,T3,medium,true,true,planned,State anchor
trt,virginia-beach-va,Virginia Beach,VA,Virginia,T2,medium,true,true,planned,State anchor
trt,charleston-wv,Charleston,WV,West Virginia,T3,medium,true,true,planned,State anchor
trt,cheyenne-wy,Cheyenne,WY,Wyoming,T3,medium,true,true,planned,State anchor
uscis-medical,new-york-city-ny,New York City,NY,New York,T1,high,true,true,planned,Tier 1 metro
uscis-medical,los-angeles-ca,Los Angeles,CA,California,T1,high,true,true,planned,Tier 1 metro
uscis-medical,chicago-il,Chicago,IL,Illinois,T1,high,true,true,planned,Tier 1 metro
uscis-medical,houston-tx,Houston,TX,Texas,T1,high,true,true,planned,Tier 1 metro
uscis-medical,phoenix-az,Phoenix,AZ,Arizona,T1,high,true,true,planned,Tier 1 metro
uscis-medical,philadelphia-pa,Philadelphia,PA,Pennsylvania,T1,high,true,true,planned,Tier 1 metro
uscis-medical,san-antonio-tx,San Antonio,TX,Texas,T1,high,true,true,planned,Tier 1 metro
uscis-medical,san-diego-ca,San Diego,CA,California,T1,high,true,true,planned,Tier 1 metro
uscis-medical,dallas-tx,Dallas,TX,Texas,T1,high,true,true,planned,Tier 1 metro
uscis-medical,san-jose-ca,San Jose,CA,California,T1,high,true,true,planned,Tier 1 metro
uscis-medical,austin-tx,Austin,TX,Texas,T1,high,true,true,planned,Tier 1 metro
uscis-medical,jacksonville-fl,Jacksonville,FL,Florida,T1,high,true,true,planned,Tier 1 metro
uscis-medical,fort-worth-tx,Fort Worth,TX,Texas,T1,high,true,true,planned,Tier 1 metro
uscis-medical,columbus-oh,Columbus,OH,Ohio,T1,high,true,true,planned,Tier 1 metro
uscis-medical,charlotte-nc,Charlotte,NC,North Carolina,T1,high,true,true,planned,Tier 1 metro
uscis-medical,san-francisco-ca,San Francisco,CA,California,T1,high,true,true,planned,Tier 1 metro
uscis-medical,indianapolis-in,Indianapolis,IN,Indiana,T1,high,true,true,planned,Tier 1 metro
uscis-medical,seattle-wa,Seattle,WA,Washington,T1,high,true,true,planned,Tier 1 metro
uscis-medical,denver-co,Denver,CO,Colorado,T1,high,true,true,planned,Tier 1 metro
uscis-medical,washington-dc,Washington,DC,District of Columbia,T1,high,true,true,planned,Tier 1 metro
uscis-medical,boston-ma,Boston,MA,Massachusetts,T1,high,true,true,planned,Tier 1 metro
uscis-medical,nashville-tn,Nashville,TN,Tennessee,T1,high,true,true,planned,Tier 1 metro
uscis-medical,baltimore-md,Baltimore,MD,Maryland,T1,high,true,true,planned,Tier 1 metro
uscis-medical,oklahoma-city-ok,Oklahoma City,OK,Oklahoma,T1,high,true,true,planned,Tier 1 metro
uscis-medical,portland-or,Portland,OR,Oregon,T1,high,true,true,planned,Tier 1 metro
uscis-medical,las-vegas-nv,Las Vegas,NV,Nevada,T1,high,true,true,planned,Tier 1 metro
uscis-medical,detroit-mi,Detroit,MI,Michigan,T1,high,true,true,planned,Tier 1 metro
uscis-medical,memphis-tn,Memphis,TN,Tennessee,T1,high,true,true,planned,Tier 1 metro
uscis-medical,louisville-ky,Louisville,KY,Kentucky,T1,high,true,true,planned,Tier 1 metro
