state_code,city,slug,shared_verticals
GA,Atlanta,atlanta-ga,uscis-medical|trt|neuro
MA,Boston,boston-ma,uscis-medical|trt|neuro
NC,Charlotte,charlotte-nc,uscis-medical|trt|neuro
IL,Chicago,chicago-il,uscis-medical|trt|neuro
TX,Dallas,dallas-tx,uscis-medical|trt|neuro
CO,Denver,denver-co,uscis-medical|trt|neuro
TX,Houston,houston-tx,uscis-medical|trt|neuro
NV,Las Vegas,las-vegas-nv,uscis-medical|trt|neuro
CA,Los Angeles,los-angeles-ca,uscis-medical|trt|neuro
FL,Miami,miami-fl,uscis-medical|trt|neuro
MN,Minneapolis,minneapolis-mn,uscis-medical|trt|neuro
NY,New York City,new-york-city-ny,uscis-medical|trt|neuro
FL,Orlando,orlando-fl,uscis-medical|trt|neuro
PA,Philadelphia,philadelphia-pa,uscis-medical|trt|neuro
AZ,Phoenix,phoenix-az,uscis-medical|trt|neuro
CA,Sacramento,sacramento-ca,uscis-medical|trt|neuro
CA,San Diego,san-diego-ca,uscis-medical|trt|neuro
CA,San Francisco,san-francisco-ca,uscis-medical|trt|neuro
WA,Seattle,seattle-wa,uscis-medical|trt|neuro
FL,Tampa,tampa-fl,uscis-medical|trt|neuro
TN,Memphis,memphis-tn,uscis-medical|trt|neuro
AL,Birmingham,birmingham-al,uscis-medical|trt|neuro
AK,Anchorage,anchorage-ak,uscis-medical|trt|neuro
AR,Little Rock,little-rock-ar,uscis-medical|trt|neuro
CT,Hartford,hartford-ct,uscis-medical|trt|neuro
DE,Wilmington,wilmington-de,uscis-medical|trt|neuro
HI,Honolulu,honolulu-hi,uscis-medical|trt|neuro
ID,Boise,boise-id,uscis-medical|trt|neuro
IN,Indianapolis,indianapolis-in,uscis-medical|trt|neuro
IA,Des Moines,des-moines-ia,uscis-medical|trt|neuro
KS,Kansas City,kansas-city-ks,uscis-medical|trt|neuro
KY,Louisville,louisville-ky,uscis-medical|trt|neuro
LA,New Orleans,new-orleans-la,uscis-medical|trt|neuro
ME,Portland,portland-me,uscis-medical|trt|neuro
MD,Baltimore,baltimore-md,uscis-medical|trt|neuro
MI,Detroit,detroit-mi,uscis-medical|trt|neuro
MS,Jackson,jackson-ms,uscis-medical|trt|neuro
MO,St. Louis,st-louis-mo,uscis-medical|trt|neuro
MT,Billings,billings-mt,uscis-medical|trt|neuro
NE,Omaha,omaha-ne,uscis-medical|trt|neuro
NH,Manchester,manchester-nh,uscis-medical|trt|neuro
NJ,Newark,newark-nj,uscis-medical|trt|neuro
NM,Albuquerque,albuquerque-nm,uscis-medical|trt|neuro
ND,Fargo,fargo-nd,uscis-medical|trt|neuro
OH,Columbus,columbus-oh,uscis-medical|trt|neuro
OK,Oklahoma City,oklahoma-city-ok,uscis-medical|trt|neuro
OR,Portland,portland-or,uscis-medical|trt|neuro
RI,Providence,providence-ri,uscis-medical|trt|neuro
SC,Columbia,columbia-sc,uscis-medical|trt|neuro
SD,Sioux Falls,sioux-falls-sd,uscis-medical|trt|neuro
UT,Salt Lake City,salt-lake-city-ut,uscis-medical|trt|neuro
VT,Burlington,burlington-vt,uscis-medical|trt|neuro
VA,Richmond,richmond-va,uscis-medical|trt|neuro
WV,Charleston,charleston-wv,uscis-medical|trt|neuro
WI,Milwaukee,milwaukee-wi,uscis-medical|trt|neuro
WY,Cheyenne,cheyenne-wy,uscis-medical|trt|neuro
