vertical,city_slug,city_name,state_code,state_name,tier,priority,required_provider_dataset,required_listing_json,status,notes
trt,albuquerque-nm,Albuquerque,NM,NM,T1,high,true,true,ready,generated baseline coverage target
trt,anchorage-ak,Anchorage,AK,AK,T1,high,true,true,ready,generated baseline coverage target
trt,atlanta-ga,atlanta-ga,GA,GA,T1,high,true,true,ready,generated baseline coverage target
trt,baltimore-md,Baltimore,MD,MD,T1,high,true,true,ready,generated baseline coverage target
trt,billings-mt,Billings,MT,MT,T1,high,true,true,ready,generated baseline coverage target
trt,birmingham-al,Birmingham,AL,AL,T1,high,true,true,ready,generated baseline coverage target
trt,boise-id,Boise,ID,ID,T1,high,true,true,ready,generated baseline coverage target
trt,boston-ma,boston-ma,MA,MA,T1,high,true,true,ready,generated baseline coverage target
trt,burlington-vt,Burlington,VT,VT,T1,high,true,true,ready,generated baseline coverage target
trt,charleston-wv,Charleston,WV,WV,T1,high,true,true,ready,generated baseline coverage target
trt,charlotte-nc,charlotte-nc,NC,NC,T1,high,true,true,ready,generated baseline coverage target
trt,cheyenne-wy,Cheyenne,WY,WY,T1,high,true,true,ready,generated baseline coverage target
trt,chicago-il,chicago-il,IL,IL,T1,high,true,true,ready,generated baseline coverage target
trt,columbia-sc,Columbia,SC,SC,T1,high,true,true,ready,generated baseline coverage target
trt,columbus-oh,columbus-oh,OH,OH,T1,high,true,true,ready,generated baseline coverage target
trt,dallas-tx,dallas-tx,TX,TX,T1,high,true,true,ready,generated baseline coverage target
trt,denver-co,denver-co,CO,CO,T1,high,true,true,ready,generated baseline coverage target
trt,des-moines-ia,Des Moines,IA,IA,T1,high,true,true,ready,generated baseline coverage target
trt,detroit-mi,detroit-mi,MI,MI,T1,high,true,true,ready,generated baseline coverage target
trt,fargo-nd,Fargo,ND,ND,T1,high,true,true,ready,generated baseline coverage target
trt,hartford-ct,Hartford,CT,CT,T1,high,true,true,ready,generated baseline coverage target
trt,honolulu-hi,Honolulu,HI,HI,T1,high,true,true,ready,generated baseline coverage target
trt,houston-tx,houston-tx,TX,TX,T1,high,true,true,ready,generated baseline coverage target
trt,indianapolis-in,indianapolis-in,IN,IN,T1,high,true,true,ready,generated baseline coverage target
trt,jackson-ms,Jackson,MS,MS,T1,high,true,true,ready,generated baseline coverage target
trt,kansas-city-ks,kansas-city-ks,KS,KS,T1,high,true,true,ready,generated baseline coverage target
trt,las-vegas-nv,las-vegas-nv,NV,NV,T1,high,true,true,ready,generated baseline coverage target
trt,little-rock-ar,Little Rock,AR,AR,T1,high,true,true,ready,generated baseline coverage target
trt,los-angeles-ca,los-angeles-ca,CA,CA,T1,high,true,true,ready,generated baseline coverage target
trt,louisville-ky,Louisville,KY,KY,T1,high,true,true,ready,generated baseline coverage target
trt,manchester-nh,Manchester,NH,NH,T1,high,true,true,ready,generated baseline coverage target
trt,memphis-tn,memphis-tn,TN,TN,T1,high,true,true,ready,generated baseline coverage target
trt,miami-fl,miami-fl,FL,FL,T1,high,true,true,ready,generated baseline coverage target
trt,milwaukee-wi,Milwaukee,WI,WI,T1,high,true,true,ready,generated baseline coverage target
trt,minneapolis-mn,minneapolis-mn,MN,MN,T1,high,true,true,ready,generated baseline coverage target
trt,new-orleans-la,New Orleans,LA,LA,T1,high,true,true,ready,generated baseline coverage target
trt,new-york-city-ny,new-york-city-ny,NY,NY,T1,high,true,true,ready,generated baseline coverage target
trt,newark-nj,Newark,NJ,NJ,T1,high,true,true,ready,generated baseline coverage target
trt,oklahoma-city-ok,Oklahoma City,OK,OK,T1,high,true,true,ready,generated baseline coverage target
trt,omaha-ne,Omaha,NE,NE,T1,high,true,true,ready,generated baseline coverage target
trt,orlando-fl,orlando-fl,FL,FL,T1,high,true,true,ready,generated baseline coverage target
trt,philadelphia-pa,philadelphia-pa,PA,PA,T1,high,true,true,ready,generated baseline coverage target
trt,phoenix-az,phoenix-az,AZ,AZ,T1,high,true,true,ready,generated baseline coverage target
trt,portland-me,Portland,ME,ME,T1,high,true,true,ready,generated baseline coverage target
trt,portland-or,portland-or,OR,OR,T1,high,true,true,ready,generated baseline coverage target
trt,providence-ri,Providence,RI,RI,T1,high,true,true,ready,generated baseline coverage target
trt,richmond-va,richmond-va,VA,VA,T1,high,true,true,ready,generated baseline coverage target
trt,sacramento-ca,sacramento-ca,CA,CA,T1,high,true,true,ready,generated baseline coverage target
trt,salt-lake-city-ut,Salt Lake City,UT,UT,T1,high,true,true,ready,generated baseline coverage target
trt,san-diego-ca,san-diego-ca,CA,CA,T1,high,true,true,ready,generated baseline coverage target
trt,san-francisco-ca,san-francisco-ca,CA,CA,T1,high,true,true,ready,generated baseline coverage target
trt,seattle-wa,seattle-wa,WA,WA,T1,high,true,true,ready,generated baseline coverage target
trt,sioux-falls-sd,Sioux Falls,SD,SD,T1,high,true,true,ready,generated baseline coverage target
trt,st-louis-mo,St. Louis,MO,MO,T1,high,true,true,ready,generated baseline coverage target
trt,tampa-fl,tampa-fl,FL,FL,T1,high,true,true,ready,generated baseline coverage target
trt,wilmington-de,Wilmington,DE,DE,T1,high,true,true,ready,generated baseline coverage target
neuro,albuquerque-nm,Albuquerque,NM,NM,T1,high,true,true,ready,generated baseline coverage target
neuro,anchorage-ak,Anchorage,AK,AK,T1,high,true,true,ready,generated baseline coverage target
neuro,atlanta-ga,atlanta-ga,GA,GA,T1,high,true,true,ready,generated baseline coverage target
neuro,baltimore-md,Baltimore,MD,MD,T1,high,true,true,ready,generated baseline coverage target
neuro,billings-mt,Billings,MT,MT,T1,high,true,true,ready,generated baseline coverage target
neuro,birmingham-al,Birmingham,AL,AL,T1,high,true,true,ready,generated baseline coverage target
neuro,boise-id,Boise,ID,ID,T1,high,true,true,ready,generated baseline coverage target
neuro,boston-ma,boston-ma,MA,MA,T1,high,true,true,ready,generated baseline coverage target
neuro,burlington-vt,Burlington,VT,VT,T1,high,true,true,ready,generated baseline coverage target
neuro,charleston-wv,Charleston,WV,WV,T1,high,true,true,ready,generated baseline coverage target
neuro,charlotte-nc,charlotte-nc,NC,NC,T1,high,true,true,ready,generated baseline coverage target
neuro,cheyenne-wy,Cheyenne,WY,WY,T1,high,true,true,ready,generated baseline coverage target
neuro,chicago-il,chicago-il,IL,IL,T1,high,true,true,ready,generated baseline coverage target
neuro,columbia-sc,Columbia,SC,SC,T1,high,true,true,ready,generated baseline coverage target
neuro,columbus-oh,columbus-oh,OH,OH,T1,high,true,true,ready,generated baseline coverage target
neuro,dallas-tx,dallas-tx,TX,TX,T1,high,true,true,ready,generated baseline coverage target
neuro,denver-co,denver-co,CO,CO,T1,high,true,true,ready,generated baseline coverage target
