city_slug,city_name,state_code,state_name,tier,is_tier1,is_anchor
new-york-city-ny,New York City,NY,New York,T1,true,true
los-angeles-ca,Los Angeles,CA,California,T1,true,true
chicago-il,Chicago,IL,Illinois,T1,true,true
houston-tx,Houston,TX,Texas,T1,true,true
phoenix-az,Phoenix,AZ,Arizona,T1,true,true
philadelphia-pa,Philadelphia,PA,Pennsylvania,T1,true,true
san-antonio-tx,San Antonio,TX,Texas,T1,true,true
san-diego-ca,San Diego,CA,California,T1,true,true
dallas-tx,Dallas,TX,Texas,T1,true,true
san-jose-ca,San Jose,CA,California,T1,true,true
austin-tx,Austin,TX,Texas,T1,true,true
jacksonville-fl,Jacksonville,FL,Florida,T1,true,true
fort-worth-tx,Fort Worth,TX,Texas,T1,true,true
columbus-oh,Columbus,OH,Ohio,T1,true,true
charlotte-nc,Charlotte,NC,North Carolina,T1,true,true
san-francisco-ca,San Francisco,CA,California,T1,true,true
indianapolis-in,Indianapolis,IN,Indiana,T1,true,true
seattle-wa,Seattle,WA,Washington,T1,true,true
denver-co,Denver,CO,Colorado,T1,true,true
washington-dc,Washington,DC,District of Columbia,T1,true,false
boston-ma,Boston,MA,Massachusetts,T1,true,true
nashville-tn,Nashville,TN,Tennessee,T1,true,true
baltimore-md,Baltimore,MD,Maryland,T1,true,true
oklahoma-city-ok,Oklahoma City,OK,Oklahoma,T1,true,true
portland-or,Portland,OR,Oregon,T1,true,true
las-vegas-nv,Las Vegas,NV,Nevada,T1,true,true
detroit-mi,Detroit,MI,Michigan,T1,true,true
memphis-tn,Memphis,TN,Tennessee,T1,true,true
louisville-ky,Louisville,KY,Kentucky,T1,true,true
milwaukee-wi,Milwaukee,WI,Wisconsin,T1,true,true
birmingham-al,Birmingham,AL,Alabama,T2,false,true
anchorage-ak,Anchorage,AK,Alaska,T3,false,true
little-rock-ar,Little Rock,AR,Arkansas,T3,false,true
hartford-ct,Hartford,CT,Connecticut,T3,false,true
wilmington-de,Wilmington,DE,Delaware,T3,false,true
miami-fl,Miami,FL,Florida,T1,false,true
atlanta-ga,Atlanta,GA,Georgia,T1,false,true
honolulu-hi,Honolulu,HI,Hawaii,T2,false,true
boise-id,Boise,ID,Idaho,T3,false,true
des-moines-ia,Des Moines,IA,Iowa,T3,false,true
wichita-ks,Wichita,KS,Kansas,T3,false,true
new-orleans-la,New Orleans,LA,Louisiana,T2,false,true
portland-me,Portland,ME,Maine,T3,false,true
minneapolis-mn,Minneapolis,MN,Minnesota,T2,false,true
jackson-ms,Jackson,MS,Mississippi,T3,false,true
st-louis-mo,St. Louis,MO,Missouri,T2,false,true
billings-mt,Billings,MT,Montana,T3,false,true
omaha-ne,Omaha,NE,Nebraska,T3,false,true
manchester-nh,Manchester,NH,New Hampshire,T3,false,true
newark-nj,Newark,NJ,New Jersey,T2,false,true
albuquerque-nm,Albuquerque,NM,New Mexico,T2,false,true
fargo-nd,Fargo,ND,North Dakota,T3,false,true
providence-ri,Providence,RI,Rhode Island,T3,false,true
charleston-sc,Charleston,SC,South Carolina,T3,false,true
sioux-falls-sd,Sioux Falls,SD,South Dakota,T3,false,true
salt-lake-city-ut,Salt Lake City,UT,Utah,T2,false,true
burlington-vt,Burlington,VT,Vermont,T3,false,true
virginia-beach-va,Virginia Beach,VA,Virginia,T2,false,true
charleston-wv,Charleston,WV,West Virginia,T3,false,true
cheyenne-wy,Cheyenne,WY,Wyoming,T3,false,true
