domain,canonical_target,vertical,is_canonical,is_parked,notes
theaccidentguides.com,https://theaccidentguides.com,pi,yes,no,canonical
phoenixaccidentguide.com,https://theaccidentguides.com,pi,no,no,redirect to canonical
ultimateguidetoaccidents.com,https://theaccidentguides.com,pi,no,no,redirect to canonical
theinjuryguides.com,https://theaccidentguides.com,pi,no,no,redirect to canonical
ultimateguidetopersonalinjury.com,https://theaccidentguides.com,pi,no,no,redirect to canonical
dentistryguides.com,https://dentistryguides.com,dentistry,yes,no,canonical
thedentalguides.com,https://dentistryguides.com,dentistry,no,no,redirect to canonical
thedentistryguides.com,https://dentistryguides.com,dentistry,no,no,redirect to canonical
teethguides.com,https://dentistryguides.com,dentistry,no,no,redirect to canonical
hormonesivhair.com,https://hormonesivhair.com,trt,yes,no,canonical
trtclinicsatx.com,https://hormonesivhair.com,trt,no,no,redirect to canonical
trtclinicsdfw.com,https://hormonesivhair.com,trt,no,no,redirect to canonical
trtclinicslosangeles.com,https://hormonesivhair.com,trt,no,no,redirect to canonical
trtclinicsmia.com,https://hormonesivhair.com,trt,no,no,redirect to canonical
trtclinicsscottsdale.com,https://hormonesivhair.com,trt,no,no,redirect to canonical
neuroevalguides.com,https://neuroevalguides.com,neuro,yes,no,canonical
adhdevaluationsatl.com,https://neuroevalguides.com,neuro,no,no,redirect to canonical
adhdevaluationsatx.com,https://neuroevalguides.com,neuro,no,no,redirect to canonical
adhdevaluationschi.com,https://neuroevalguides.com,neuro,no,no,redirect to canonical
adhdevaluationssf.com,https://neuroevalguides.com,neuro,no,no,redirect to canonical
autismevaluationsatl.com,https://neuroevalguides.com,neuro,no,no,redirect to canonical
autismevaluationsatx.com,https://neuroevalguides.com,neuro,no,no,redirect to canonical
autismevaluationschi.com,https://neuroevalguides.com,neuro,no,no,redirect to canonical
autismevaluationssf.com,https://neuroevalguides.com,neuro,no,no,redirect to canonical
uscisexam.com,https://uscisexam.com,uscis,yes,no,canonical
atlantauscismedical.com,https://uscisexam.com,uscis,no,no,redirect to canonical
houstonuscismedical.com,https://uscisexam.com,uscis,no,no,redirect to canonical
lauscismedical.com,https://uscisexam.com,uscis,no,no,redirect to canonical
nycuscismedical.com,https://uscisexam.com,uscis,no,no,redirect to canonical
phoenixaccidentguid.com,,pi,no,yes,parked misspelling (excluded from scripts)
